DATE,VALUE
1986/1/2,8.125
1986/1/3,8.125
1986/1/6,8.1875
1986/1/7,8.125
1986/1/8,8
1986/1/9,8.1875
1986/1/10,8.25
1986/1/13,8.3125
1986/1/14,8.375
1986/1/15,8.25
1986/1/16,8.1875
1986/1/17,8.1875
1986/1/20,8.25
1986/1/21,8.1875
1986/1/22,8.1875
1986/1/23,8.1875
1986/1/24,8.1875
1986/1/27,8.125
1986/1/28,8.0625
1986/1/29,8.0625
1986/1/30,8.0625
1986/1/31,8.0625
1986/2/3,8.0625
1986/2/4,8.0313
1986/2/5,8
1986/2/6,8
1986/2/7,8
1986/2/10,8.0625
1986/2/11,8.0313
1986/2/12,8.0625
1986/2/13,8.0625
1986/2/14,8
1986/2/17,8
1986/2/18,8
1986/2/19,8
1986/2/20,8
1986/2/21,8
1986/2/24,8
1986/2/25,7.9375
1986/2/26,8
1986/2/27,7.9688
1986/2/28,7.9375
1986/3/3,7.9375
1986/3/4,7.9063
1986/3/5,7.8125
1986/3/6,7.8125
1986/3/7,7.6563
1986/3/10,7.5625
1986/3/11,7.5
1986/3/12,7.5
1986/3/13,7.5625
1986/3/14,7.5625
1986/3/17,7.5625
1986/3/18,7.625
1986/3/19,7.6875
1986/3/20,7.6875
1986/3/21,7.625
1986/3/24,7.625
1986/3/25,7.625
1986/3/26,7.5625
1986/3/27,7.5
1986/3/28,.
1986/3/31,.
1986/4/1,7.4375
1986/4/2,7.4375
1986/4/3,7.4375
1986/4/4,7.5
1986/4/7,7.4063
1986/4/8,7.1875
1986/4/9,6.875
1986/4/10,6.9375
1986/4/11,6.9375
1986/4/14,6.9375
1986/4/15,6.9375
1986/4/16,6.875
1986/4/17,6.6875
1986/4/18,6.6875
1986/4/21,6.8125
1986/4/22,6.875
1986/4/23,7
1986/4/24,7
1986/4/25,7
1986/4/28,7
1986/4/29,6.9375
1986/4/30,6.9375
1986/5/1,7
1986/5/2,7
1986/5/5,.
1986/5/6,6.9375
1986/5/7,6.9375
1986/5/8,6.9375
1986/5/9,6.9375
1986/5/12,7
1986/5/13,7.0625
1986/5/14,7
1986/5/15,7.0625
1986/5/16,7.125
1986/5/19,7.125
1986/5/20,7.1563
1986/5/21,7.0625
1986/5/22,7.0625
1986/5/23,7.0625
1986/5/26,.
1986/5/27,7
1986/5/28,7
1986/5/29,7.0625
1986/5/30,7.125
1986/6/2,7.125
1986/6/3,7.1875
1986/6/4,7.1875
1986/6/5,7.1875
1986/6/6,7.1875
1986/6/9,7.0625
1986/6/10,7.125
1986/6/11,7.125
1986/6/12,7.125
1986/6/13,7.125
1986/6/16,7.0625
1986/6/17,7.0625
1986/6/18,7.0625
1986/6/19,7.0625
1986/6/20,7.0625
1986/6/23,7.0625
1986/6/24,7.0625
1986/6/25,7.0625
1986/6/26,7.0625
1986/6/27,7.0625
1986/6/30,7.0313
1986/7/1,7
1986/7/2,7
1986/7/3,7
1986/7/4,6.9375
1986/7/7,6.9375
1986/7/8,6.9375
1986/7/9,7
1986/7/10,6.875
1986/7/11,6.6875
1986/7/14,6.6875
1986/7/15,6.5625
1986/7/16,6.5625
1986/7/17,6.5938
1986/7/18,6.625
1986/7/21,6.5625
1986/7/22,6.5625
1986/7/23,6.5625
1986/7/24,6.625
1986/7/25,6.625
1986/7/28,6.625
1986/7/29,6.625
1986/7/30,6.5625
1986/7/31,6.5625
1986/8/1,6.4375
1986/8/4,6.5
1986/8/5,6.5
1986/8/6,6.5
1986/8/7,6.5
1986/8/8,6.4688
1986/8/11,6.4375
1986/8/12,6.4375
1986/8/13,6.375
1986/8/14,6.25
1986/8/15,6.2813
1986/8/18,6.3125
1986/8/19,6.3125
1986/8/20,6.25
1986/8/21,6
1986/8/22,6
1986/8/25,.
1986/8/26,5.9375
1986/8/27,5.875
1986/8/28,5.9375
1986/8/29,5.9375
1986/9/1,5.8125
1986/9/2,5.8125
1986/9/3,5.9375
1986/9/4,6
1986/9/5,5.9375
1986/9/8,6.0313
1986/9/9,6.0625
1986/9/10,6.0156
1986/9/11,6.0625
1986/9/12,6.1875
1986/9/15,6.125
1986/9/16,6.125
1986/9/17,6.1875
1986/9/18,6.125
1986/9/19,6.1875
1986/9/22,6.1875
1986/9/23,6.1875
1986/9/24,6.1406
1986/9/25,6.0625
1986/9/26,6.125
1986/9/29,6.125
1986/9/30,6.125
1986/10/1,6.1094
1986/10/2,6.0625
1986/10/3,6.0625
1986/10/6,6
1986/10/7,5.9375
