DATE,VALUE
1997/12/1,5.69531
1997/12/2,5.6875
1997/12/3,5.6875
1997/12/4,5.67578
1997/12/5,5.65234
1997/12/8,5.625
1997/12/9,5.625
1997/12/10,5.625
1997/12/11,5.625
1997/12/12,5.625
1997/12/15,5.625
1997/12/16,5.625
1997/12/17,5.625
1997/12/18,5.625
1997/12/19,5.625
1997/12/22,5.625
1997/12/23,6.75
1997/12/24,6.75
1997/12/25,.
1997/12/26,.
1997/12/29,6.25
1997/12/30,5.75
1997/12/31,5.73828
1998/1/1,.
1998/1/2,5.6875
1998/1/5,5.6875
1998/1/6,5.63672
1998/1/7,5.59375
1998/1/8,5.58984
1998/1/9,5.57031
1998/1/12,5.58594
1998/1/13,5.59375
1998/1/14,5.59375
1998/1/15,5.5625
1998/1/16,5.56641
1998/1/19,5.57813
1998/1/20,5.58203
1998/1/21,5.5625
1998/1/22,5.57813
1998/1/23,5.57813
1998/1/26,5.625
1998/1/27,5.625
1998/1/28,5.625
1998/1/29,5.625
1998/1/30,5.59766
1998/2/2,5.61328
1998/2/3,5.62109
1998/2/4,5.60156
1998/2/5,5.58984
1998/2/6,5.58984
1998/2/9,5.59375
1998/2/10,5.58594
1998/2/11,5.57422
1998/2/12,5.58203
1998/2/13,5.61328
1998/2/16,5.60938
1998/2/17,5.60547
1998/2/18,5.57031
1998/2/19,5.60938
1998/2/20,5.625
1998/2/23,5.63281
1998/2/24,5.67188
1998/2/25,5.65625
1998/2/26,5.64063
1998/2/27,5.64063
1998/3/2,5.62891
1998/3/3,5.625
1998/3/4,5.625
1998/3/5,5.625
1998/3/6,5.625
1998/3/9,5.625
1998/3/10,5.625
1998/3/11,5.61719
1998/3/12,5.59766
1998/3/13,5.60938
1998/3/16,5.59375
1998/3/17,5.59766
1998/3/18,5.59375
1998/3/19,5.59766
1998/3/20,5.59766
1998/3/23,5.6875
1998/3/24,5.6875
1998/3/25,5.6875
1998/3/26,5.69531
1998/3/27,5.73047
1998/3/30,5.65625
1998/3/31,5.65625
1998/4/1,5.64844
1998/4/2,5.64844
1998/4/3,5.625
1998/4/6,5.625
1998/4/7,5.625
1998/4/8,5.625
1998/4/9,5.625
1998/4/10,.
1998/4/13,.
1998/4/14,5.625
1998/4/15,5.625
1998/4/16,5.625
1998/4/17,5.61719
1998/4/20,5.62109
1998/4/21,5.625
1998/4/22,5.625
1998/4/23,5.625
1998/4/24,5.625
1998/4/27,5.625
1998/4/28,5.625
1998/4/29,5.625
1998/4/30,5.625
1998/5/1,5.625
1998/5/4,.
1998/5/5,5.625
1998/5/6,5.625
1998/5/7,5.61719
1998/5/8,5.58984
1998/5/11,5.60938
1998/5/12,5.60547
1998/5/13,5.61719
1998/5/14,5.60547
1998/5/15,5.62109
1998/5/18,5.62109
1998/5/19,5.625
1998/5/20,5.59375
1998/5/21,5.62109
1998/5/22,5.62109
1998/5/25,.
1998/5/26,5.625
1998/5/27,5.625
1998/5/28,5.625
1998/5/29,5.625
1998/6/1,5.625
1998/6/2,5.625
1998/6/3,5.625
1998/6/4,5.61328
1998/6/5,5.61719
1998/6/8,5.61719
1998/6/9,5.625
1998/6/10,5.59766
1998/6/11,5.61719
1998/6/12,5.61719
1998/6/15,5.62109
1998/6/16,5.61719
1998/6/17,5.625
1998/6/18,5.61719
1998/6/19,5.60547
1998/6/22,5.66016
1998/6/23,5.67188
1998/6/24,5.67578
1998/6/25,5.6875
1998/6/26,5.69922
1998/6/29,5.67969
1998/6/30,5.66797
1998/7/1,5.63672
1998/7/2,5.625
1998/7/3,5.625
1998/7/6,5.625
1998/7/7,5.64844
1998/7/8,5.625
1998/7/9,5.625
1998/7/10,5.625
1998/7/13,5.625
1998/7/14,5.62109
1998/7/15,5.625
1998/7/16,5.625
1998/7/17,5.61328
1998/7/20,5.62109
1998/7/21,5.60938
1998/7/22,5.59766
1998/7/23,5.625
1998/7/24,5.67188
1998/7/27,5.67969
1998/7/28,5.69922
1998/7/29,5.68359
1998/7/30,5.64844
1998/7/31,5.625
1998/8/3,5.625
1998/8/4,5.625
1998/8/5,5.60938
1998/8/6,5.62109
1998/8/7,5.61328
1998/8/10,5.625
1998/8/11,5.625
1998/8/12,5.625
1998/8/13,5.625
1998/8/14,5.625
1998/8/17,5.625
1998/8/18,5.625
1998/8/19,5.625
1998/8/20,5.63281
1998/8/21,5.63281
1998/8/24,5.63672
1998/8/25,5.64844
1998/8/26,5.66406
1998/8/27,5.64063
1998/8/28,5.625
1998/8/31,.
1998/9/1,5.625
1998/9/2,5.625
1998/9/3,5.625
1998/9/4,5.625
1998/9/7,5.625
1998/9/8,5.625
1998/9/9,5.625
1998/9/10,5.625
1998/9/11,5.62109
1998/9/14,5.625
1998/9/15,5.625
1998/9/16,5.625
1998/9/17,5.625
1998/9/18,5.625
1998/9/21,5.625
1998/9/22,5.67578
1998/9/23,5.69922
1998/9/24,5.66016
1998/9/25,5.5625
1998/9/28,5.5
1998/9/29,5.375
1998/9/30,5.375
1998/10/1,5.36328
1998/10/2,5.39063
1998/10/5,5.39453
1998/10/6,5.4375
1998/10/7,5.4375
1998/10/8,5.42578
1998/10/9,5.375
1998/10/12,5.375
1998/10/13,5.37688
1998/10/14,5.37625
1998/10/15,5.37688
1998/10/16,5.22313
1998/10/19,5.24625
1998/10/20,5.25
1998/10/21,5.25
1998/10/22,5.25781
1998/10/23,5.25391
1998/10/26,5.25
1998/10/27,5.25
1998/10/28,5.25875
1998/10/29,5.23875
1998/10/30,5.25
1998/11/2,5.2725
1998/11/3,5.2725
1998/11/4,5.26516
1998/11/5,5.2575
1998/11/6,5.25
1998/11/9,5.2575
1998/11/10,5.25
1998/11/11,5.25
1998/11/12,5.25
1998/11/13,5.25
1998/11/16,5.25891
1998/11/17,5.25
1998/11/18,4.99609
1998/11/19,4.93906
1998/11/20,5
1998/11/23,5
1998/11/24,5
1998/11/25,5.01125
1998/11/26,5.05281
1998/11/27,5.06
1998/11/30,5.12625
1998/12/1,5.06094
1998/12/2,5
1998/12/3,4.9375
1998/12/4,4.8675
1998/12/7,4.89656
1998/12/8,4.93188
1998/12/9,4.91578
1998/12/10,4.93375
1998/12/11,5
1998/12/14,5.01906
1998/12/15,5.01906
1998/12/16,5
1998/12/17,4.98234
1998/12/18,4.93469
1998/12/21,4.93563
1998/12/22,5.05281
1998/12/23,7.25
1998/12/24,7.25
1998/12/25,.
1998/12/28,.
1998/12/29,7.27969
1998/12/30,5.12313
1998/12/31,5.1325
1999/1/1,.
1999/1/4,5.06094
1999/1/5,5.04906
1999/1/6,4.97844
1999/1/7,4.94125
1999/1/8,4.94391
1999/1/11,4.9975
1999/1/12,5
1999/1/13,5
1999/1/14,4.96094
1999/1/15,4.92422
1999/1/18,4.93438
1999/1/19,4.91859
1999/1/20,4.87563
1999/1/21,4.91188
1999/1/22,4.9175
1999/1/25,4.93688
1999/1/26,4.93688
1999/1/27,4.94219
1999/1/28,4.91281
1999/1/29,4.90484
1999/2/1,4.87563
1999/2/2,4.87375
1999/2/3,4.86688
1999/2/4,4.84969
1999/2/5,4.87063
1999/2/8,4.91484
1999/2/9,4.91031
1999/2/10,4.88875
1999/2/11,4.88563
1999/2/12,4.88875
1999/2/15,4.8775
1999/2/16,4.87813
1999/2/17,4.86297
1999/2/18,4.88688
1999/2/19,4.88688
1999/2/22,4.8825
1999/2/23,4.88188
1999/2/24,4.89125
1999/2/25,4.89
1999/2/26,4.89375
1999/3/1,4.88875
1999/3/2,4.87938
1999/3/3,4.86734
1999/3/4,4.85672
1999/3/5,4.85625
1999/3/8,4.87125
1999/3/9,4.8725
1999/3/10,4.8525
1999/3/11,4.84531
1999/3/12,4.84781
1999/3/15,4.85375
1999/3/16,4.85125
1999/3/17,4.8375
1999/3/18,4.8375
1999/3/19,4.84125
1999/3/22,4.9175
1999/3/23,4.93375
1999/3/24,4.9325
1999/3/25,4.93125
1999/3/26,4.95109
1999/3/29,4.98359
1999/3/30,4.91547
1999/3/31,4.92719
1999/4/1,4.92375
1999/4/2,.
1999/4/5,.
1999/4/6,4.91
1999/4/7,4.895
1999/4/8,4.89063
1999/4/9,4.88563
1999/4/12,4.88063
1999/4/13,4.87813
1999/4/14,4.87125
1999/4/15,4.87375
1999/4/16,4.86922
1999/4/19,4.86672
1999/4/20,4.84375
1999/4/21,4.81031
1999/4/22,4.81656
1999/4/23,4.81531
1999/4/26,4.81875
1999/4/27,4.8225
1999/4/28,4.865
1999/4/29,4.87125
1999/4/30,4.88063
1999/5/3,.
1999/5/4,4.875
1999/5/5,4.865
1999/5/6,4.85
1999/5/7,4.84875
1999/5/10,4.8525
1999/5/11,4.85375
1999/5/12,4.85938
1999/5/13,4.86938
1999/5/14,4.865
1999/5/17,4.8875
1999/5/18,4.88438
1999/5/19,4.87438
1999/5/20,4.87688
1999/5/21,4.87188
1999/5/24,4.87125
1999/5/25,4.875
1999/5/26,4.93
1999/5/27,4.925
1999/5/28,4.93
1999/5/31,.
1999/6/1,4.90875
1999/6/2,4.89125
1999/6/3,4.87063
1999/6/4,4.865
1999/6/7,4.8725
1999/6/8,4.875
1999/6/9,4.8725
1999/6/10,4.87688
1999/6/11,4.89125
1999/6/14,4.88875
1999/6/15,4.885
1999/6/16,4.86
1999/6/17,4.84375
1999/6/18,4.8375
1999/6/21,4.85
1999/6/22,5.045
1999/6/23,5.07375
1999/6/24,5.18219
1999/6/25,5.22625
1999/6/28,5.35
1999/6/29,5.30125
1999/6/30,5.27625
1999/7/1,5.18344
1999/7/2,5.1825
1999/7/5,5.18163
1999/7/6,5.1775
1999/7/7,5.17
1999/7/8,5.17125
1999/7/9,5.17
1999/7/12,5.17
1999/7/13,5.1675
1999/7/14,5.15625
1999/7/15,5.15125
1999/7/16,5.13375
1999/7/19,5.1225
1999/7/20,5.11625
1999/7/21,5.09
1999/7/22,5.1175
1999/7/23,5.1375
1999/7/26,5.1525
1999/7/27,5.16625
1999/7/28,5.17
1999/7/29,5.15375
1999/7/30,5.155
1999/8/2,5.14875
1999/8/3,5.14
1999/8/4,5.135
1999/8/5,5.13875
1999/8/6,5.14703
1999/8/9,5.15703
1999/8/10,5.16875
1999/8/11,5.16328
1999/8/12,5.15953
1999/8/13,5.15828
1999/8/16,5.1675
1999/8/17,5.16578
1999/8/18,5.16375
1999/8/19,5.28391
1999/8/20,5.30906
1999/8/23,5.33875
1999/8/24,5.34375
1999/8/25,5.34563
1999/8/26,5.345
1999/8/27,5.35125
1999/8/30,.
1999/8/31,5.35
1999/9/1,5.35
1999/9/2,5.355
1999/9/3,5.35125
1999/9/6,5.3575
1999/9/7,5.36625
1999/9/8,5.36375
1999/9/9,5.35875
1999/9/10,5.3575
1999/9/13,5.35625
1999/9/14,5.355
1999/9/15,5.3525
1999/9/16,5.35375
1999/9/17,5.34875
1999/9/20,5.34875
1999/9/21,5.34625
1999/9/22,5.37563
1999/9/23,5.38375
1999/9/24,5.3875
1999/9/27,5.39375
1999/9/28,5.4
1999/9/29,5.4
1999/9/30,5.39375
1999/10/1,5.3925
1999/10/4,5.395
1999/10/5,5.39625
1999/10/6,5.37375
1999/10/7,5.365
1999/10/8,5.365
1999/10/11,5.3675
