DATE,VALUE
2001/1/2,6.65125
2001/1/3,6.65375
2001/1/4,6.09625
2001/1/5,6.01625
2001/1/8,6.015
2001/1/9,6.01125
2001/1/10,6.015
2001/1/11,6.0375
2001/1/12,6.025
2001/1/15,.
2001/1/16,6.17625
2001/1/17,6.05125
2001/1/18,6.02625
2001/1/19,5.99625
2001/1/22,6
2001/1/23,6.0275
2001/1/24,6.10125
2001/1/25,6.11375
2001/1/26,6.10375
2001/1/29,6.115
2001/1/30,6.10125
2001/1/31,6.03875
2001/2/1,5.65
2001/2/2,5.5925
2001/2/5,5.6075
2001/2/6,5.615
2001/2/7,5.63375
2001/2/8,5.585
2001/2/9,5.5575
2001/2/12,5.57875
2001/2/13,5.57375
2001/2/14,5.56625
2001/2/15,5.64375
2001/2/16,5.55
2001/2/19,.
2001/2/20,5.60875
2001/2/21,5.6125
2001/2/22,5.6
2001/2/23,5.54375
2001/2/26,5.57125
2001/2/27,5.57625
2001/2/28,5.62625
2001/3/1,5.5875
2001/3/2,5.58375
2001/3/5,5.6375
2001/3/6,5.65
2001/3/7,5.62938
2001/3/8,5.57531
2001/3/9,5.53641
2001/3/12,5.57406
2001/3/13,5.57156
2001/3/14,5.58656
2001/3/15,5.64813
2001/3/16,5.54516
2001/3/19,5.56906
2001/3/20,5.3425
2001/3/21,5.13688
2001/3/22,5.12813
2001/3/23,5.05875
2001/3/26,5.08797
2001/3/27,5.09281
2001/3/28,5.1075
2001/3/29,5.19219
2001/3/30,5.66813
2001/4/2,5.30281
2001/4/3,5.2625
2001/4/4,5.2275
2001/4/5,5.13313
2001/4/6,5.08406
2001/4/9,5.0875
2001/4/10,5.07906
2001/4/11,5.08156
2001/4/12,5.15063
2001/4/13,.
2001/4/16,.
2001/4/17,5.14875
2001/4/18,5.10797
2001/4/19,4.57125
2001/4/20,4.5175
2001/4/23,4.55125
2001/4/24,4.48484
2001/4/25,4.45219
2001/4/26,4.5325
2001/4/27,4.59172
2001/4/30,4.76875
2001/5/1,4.75375
2001/5/2,4.63563
2001/5/3,4.56875
2001/5/4,4.54516
2001/5/7,.
2001/5/8,4.53891
2001/5/9,4.52641
2001/5/10,4.5125
2001/5/11,4.49125
2001/5/14,4.5025
2001/5/15,4.36688
2001/5/16,4.135
2001/5/17,4.0875
2001/5/18,4.04516
2001/5/21,4.07031
2001/5/22,4.06531
2001/5/23,4.05781
2001/5/24,4.04
