M10,M11,M12,M1,W1,M2,W2,M3,M4,M5,M6,M7,M8,M9,ON
5.99125,5.96875,5.9425,6.5475,6.605,6.45875,6.59125,6.37125,6.29875,6.23,6.16375,6.115,6.06375,6.01375,6.65125
5.84375,5.815,5.78875,6.5075,6.57875,6.39375,6.56375,6.28625,6.20875,6.13,6.05375,5.995,5.93125,5.87125,6.65375
5.58,5.56625,5.555,6.05,6.08125,5.95375,6.075,5.86625,5.81375,5.76125,5.7075,5.67,5.63375,5.5975,6.09625
5.385,5.375,5.365,5.93625,6.0525,5.805,6.045,5.695,5.62625,5.56875,5.51625,5.47625,5.435,5.3975,6.01625
5.3225,5.31125,5.3025,5.88375,6.0375,5.75,6.0325,5.61625,5.54375,5.4725,5.41938,5.385,5.355,5.3325,6.015
5.335,5.32625,5.31625,5.88125,6.03,5.75,6.025,5.62375,5.5525,5.4825,5.43625,5.4025,5.3725,5.34625,6.01125
5.37625,5.36625,5.3575,5.88625,6.02625,5.76125,6.01375,5.65,5.5875,5.52,5.46875,5.43875,5.4125,5.38625,6.015
5.41625,5.40875,5.39875,5.8825,6.025,5.765,6.00875,5.67625,5.61,5.55,5.505,5.4775,5.45,5.42625,6.0375
5.415,5.40625,5.39625,5.88063,6.02625,5.7675,6.01125,5.67875,5.60875,5.55125,5.5075,5.47625,5.45,5.42625,6.025
5.52125,5.51375,5.51063,5.91063,6.03625,5.81375,6.0225,5.74125,5.68375,5.635,5.605,5.575,5.54625,5.52625,.
5.50375,5.4975,5.49375,5.90125,6.03125,5.8075,6.01875,5.73875,5.67875,5.6225,5.58875,5.56,5.53,5.50875,6.17625
5.51125,5.50375,5.5025,5.89875,6.03125,5.81,6.015,5.73875,5.6775,5.62125,5.595,5.56438,5.53625,5.51375,6.05125
5.3825,5.375,5.3725,5.83625,6.005,5.73,5.97375,5.64875,5.5825,5.52563,5.4825,5.45125,5.42,5.39125,6.02625
5.34,5.33625,5.32875,5.78875,6,5.69,5.93,5.61125,5.55875,5.49875,5.45,5.41625,5.3825,5.35,5.99625
5.32625,5.3225,5.3175,5.72625,5.995,5.66,5.8975,5.58125,5.53125,5.47875,5.43,5.3925,5.36125,5.33,6
5.31625,5.31,5.30625,5.71375,5.98625,5.65125,5.87125,5.5725,5.5275,5.47,5.42125,5.38625,5.3525,5.32,6.0275
5.37,5.36313,5.36,5.74125,5.98875,5.6775,5.88625,5.61,5.56,5.51125,5.46313,5.43125,5.40125,5.37563,6.10125
5.37125,5.3675,5.36625,5.715,5.91625,5.66125,5.835,5.5975,5.55,5.50125,5.45375,5.42375,5.39375,5.37375,6.11375
5.33125,5.33,5.33,5.685,5.79125,5.63,5.7425,5.5675,5.5125,5.46,5.41125,5.37875,5.3525,5.3325,6.10375
5.30375,5.30375,5.305,5.6475,5.70125,5.6075,5.68,5.5425,5.48375,5.43375,5.37625,5.35,5.32625,5.305,6.115
